Técnica,MAD,MSE,MAPE (%),TS,Enviesado
Média Móvel Simples,1480.5873015873012,3032097.1164021157,6.120277807342541,14.293652240102062,Sim
Média Exponencial Móvel,1559.599574167353,3489265.588785662,6.510883172545008,22.656768415351443,Sim
Regressão Linear,825.5363285024158,1020232.3747041061,3.616516391593463,8.372932231841845e-14,Não
Holt Duplo,825.5347530676586,1020232.390509948,3.61651207556792,-0.0002060530243309179,Não
Holt-Winters,277.6022737610451,105614.34518028279,1.2110169035834886,-0.00042020080752227704,Não
Decomposição Sazonal,1993.3484138959273,11177174.852621498,9.7090974239467,-14.113889510454545,Sim
