Técnica,MAD,MSE,MAPE (%),TS,Enviesado
Média Móvel Simples,1205.7301587301588,3391948.6613756623,12.886930324637069,4.722726135780205,Sim
Média Exponencial Móvel,1240.9289462263143,2861872.866270853,13.21816907326219,7.648682395880295,Sim
Regressão Linear,1188.7440217391304,2707248.8178381636,14.758212680722558,1.8362130486777244e-14,Não
Holt Duplo,1030.153299167456,2234274.5038854307,10.919204895689276,-0.00015724644757137392,Não
Holt-Winters,488.51674823808753,407442.80809407885,4.978330872620528,8.681392610838252,Sim
Decomposição Sazonal,1770.7142968484059,7330655.621493354,17.849687189862788,-8.764736091418598,Sim
