Técnica,MAD,MSE,MAPE (%),TS,Enviesado
Média Móvel Simples,335.07936507936506,196606.19047619044,3.3526473448063374,3.0898152534344043,Sim
Média Exponencial Móvel,387.8501702501696,260398.3203804535,3.9413031668080536,-4.149916201315892,Sim
Regressão Linear,347.82503623188404,189514.86373188408,3.4953537595100337,6.275532399570663e-14,Não
Holt Duplo,347.8250606043517,189514.86655630832,3.495354245319602,-4.44919333574715e-05,Não
Holt-Winters,235.4166671175667,90125.182062903,2.3725832477559172,5.112761174698143e-06,Não
Decomposição Sazonal,218.39810546106932,166992.9383413285,2.2028704472918994,-0.07978225252647635,Não
