Técnica,MAD,MSE,MAPE (%),TS,Enviesado
Média Móvel Simples,35761.39682539682,1987795902.3597884,14.901293345297589,9.245034106121349,Sim
Média Exponencial Móvel,33822.47494148573,1921674811.1585293,14.321458301858403,17.485248425562396,Sim
Regressão Linear,27786.72782608696,1206263996.8883998,13.271913514171855,2.0948008444096262e-15,Não
Holt Duplo,28548.504700620728,1262553715.052326,13.910598642356295,-3.0496519615265805,Sim
Holt-Winters,16283.718694349058,743806086.1206416,7.390354128433023,-4.061167718990499,Sim
Decomposição Sazonal,40523.3011136351,3168583473.4135633,18.976163495644386,-7.974903104748898,Sim
